system,composition,steps,atoms_mean,enthalpy_mean,enthalpy/atoms_mean,atoms_sem,enthalpy_sem,enthalpy/atoms_sem,atoms_count,enthalpy_count,enthalpy/atoms_count
Ni-Zr,Zr0.96,667,19652,-121803.60299999997,-6.1980257989008765,0.0,15.497118517109037,0.0007885771685887216,10,10,10
Ni-Zr,Zr0.98,667,19652,-122110.143,-6.213624211276207,0.0,12.825528540115615,0.0006526322277689666,10,10,10
Ni-Zr,Zr0.99,667,19652,-122233.406,-6.219896499084063,0.0,13.411621179657061,0.0006824557897242029,10,10,10
Ni-Zr,Zr1.00,667,19652,-122357.298,-6.226200793812334,0.0,13.741662425712345,0.0006992500725480023,10,10,10
Pd-Si,Si0.00,667,19652,-74741.4601,-3.8032495471198864,0.0,3.692328673374948,0.00018788564387211686,10,10,10
Pd-Si,Si0.01,667,19652,-75464.86480000001,-3.8400602890291062,0.0,3.199555718463837,0.00016281069196337234,10,10,10
Pd-Si,Si0.02,667,19652,-76215.2442,-3.878243649501323,0.0,2.3152134089305467,0.00011781057444182545,10,10,10
Pd-Si,Si0.04,667,19652,-77656.6056,-3.951587909627519,0.0,2.260160649157415,0.00011500919240574438,10,10,10
Pd-Si,Si0.06,667,19652,-79131.99750000001,-4.026663825564828,0.0,2.1561266467136586,0.00010971537994677675,10,10,10
Pd-Si,Si0.08,667,19652,-80627.00270000001,-4.102737772236922,0.0,2.798468001723191,0.0001424011806289986,10,10,10
Pd-Si,Si0.10,667,19652,-82085.92840000002,-4.176975798900875,0.0,3.8285429871494996,0.00019481696454036335,10,10,10
Pd-Si,Si0.98,667,19652,-89054.7936,-4.5315893344188884,0.0,18.404795593176512,0.0009365354973120698,10,10,10
Pd-Si,Si0.99,667,19652,-88942.6481,-4.525882765112965,0.0,25.1969976299861,0.0012821594560342355,10,10,10
Pd-Si,Si1.00,667,19652,-88808.5203,-4.519057617545288,0.0,15.685428463704014,0.0007981593966876558,10,10,10
Zr-Al,Al0.00,667,19652,-121599.30299999999,-6.187629910441686,0.0,2.0443428990488055,0.00010402721855532015,10,10,10
Zr-Al,Al0.01,667,19652,-121222.509,-6.168456594748626,0.0,5.344800474395374,0.00027197234247898413,10,10,10
Zr-Al,Al0.02,667,19652,-120844.794,-6.14923641359658,0.0,3.3016525155343106,0.00016800592894021182,10,10,10
Zr-Al,Al0.04,667,19652,-120122.65400000001,-6.112490026460411,0.0,2.9522109229079123,0.0001502244516032771,10,10,10
Zr-Al,Al0.06,667,19652,-119389.451,-6.075180694076939,0.0,12.07216425869462,0.000614296980393507,10,10,10
Zr-Al,Al0.08,667,19652,-118631.335,-6.036603653572155,0.0,14.989004062238042,0.0007627215582248945,10,10,10
Zr-Al,Al0.10,667,19652,-117916.89100000002,-6.000248880521067,0.0,18.243042475907124,0.0009283046242575323,10,10,10
Zr-Al,Al0.90,667,19652,-72742.1693,-3.7015148229187864,0.0,2.600056824379029,0.000132304947302024,10,10,10
Zr-Al,Al0.92,667,19652,-71210.53199999999,-3.623576836963159,0.0,4.611975016797247,0.0002346822214938029,10,10,10
Zr-Al,Al0.94,667,19652,-69615.7053,-3.5424234327294926,0.0,3.921642354507216,0.00019955436365300084,10,10,10
Zr-Al,Al0.96,667,19652,-67906.1495,-3.4554319916547933,0.0,7.368672680491804,0.0003749579015109517,10,10,10
Zr-Al,Al0.98,667,19652,-66168.11549999999,-3.366991425809078,0.0,8.412824531960402,0.00042808999246684914,10,10,10
Zr-Al,Al0.99,667,19652,-65291.77089999999,-3.3223982749847343,0.0,7.457051410801608,0.0003794550890903056,10,10,10
Zr-Al,Al1.00,667,19652,-64502.75750000001,-3.282249007734582,0.0,12.960422952846443,0.0006594963847366978,10,10,10
Zr-Cu,Cu0.00,667,19652,-122074.90900000001,-6.211831314878895,0.0,5.435567935163471,0.00027659108157768967,10,10,10
Zr-Cu,Cu0.01,667,19652,-121583.07799999998,-6.186804294728272,0.0,5.546893785412998,0.0002822559426731968,10,10,10
Zr-Cu,Cu0.02,667,19652,-121034.03400000001,-6.158865967840423,0.0,6.067241950745506,0.0003087340703615605,10,10,10
Zr-Cu,Cu0.04,667,19652,-120050.32200000001,-6.108809383268879,0.0,8.530678076475748,0.0004340870179359012,10,10,10
Zr-Cu,Cu0.06,667,19652,-119058.5,-6.058340118054142,0.0,11.14225839864728,0.0005669783431023773,10,10,10
Zr-Cu,Cu0.08,667,19652,-118045.13100000001,-6.00677442499491,0.0,17.777047839528542,0.0009045922979608444,10,10,10
Zr-Cu,Cu0.10,667,19652,-117043.26800000001,-5.955794219417871,0.0,6.374167797534401,0.0003243521167072946,10,10,10
Zr-Cu,Cu0.90,667,19652,-73943.6863,-3.762654503358436,0.0,10.78817863532876,0.0005489608505663875,10,10,10
Zr-Cu,Cu0.92,667,19652,-72810.6058,-3.704997242010992,0.0,6.905054208170571,0.00035136648728732007,10,10,10
Zr-Cu,Cu0.94,667,19652,-71601.611,-3.6434770506818643,0.0,8.1619704674246,0.00041532518152984804,10,10,10
Zr-Cu,Cu0.96,667,19652,-70319.7868,-3.5782509057602283,0.0,5.987673511845108,0.0003046851980380593,10,10,10
Zr-Cu,Cu0.98,667,19652,-69018.5247,-3.5120356554040306,0.0,5.54959344867371,0.00028239331613436015,10,10,10
Zr-Cu,Cu0.99,667,19652,-68357.86050000001,-3.478417489314065,0.0,4.583574003985821,0.00023323702442418773,10,10,10
Zr-Cu,Cu1.00,667,19652,-67796.6696,-3.4498610624872783,0.0,7.164679411607965,0.0003645776211890596,10,10,10
